Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Ben Brereton,Villarreal CF,735.521€,16,6,349,0,0,0,2,7,7,0,21,35,0,8,0,0,0,0,0,0,0,0
Alti,Villarreal CF,467.985€,16,7,177,0,0,0,6,1,0,0,5,33,0,2,0,0,0,0,0,0,0,0
Zakharyan,Real Sociedad,957.474€,16,6,363,0,0,0,0,1,9,0,17,72,0,3,0,0,0,1,0,0,0,0
Diao,Real Betis,2.666.449€,15,14,580,0,0,0,2,7,3,0,43,96,0,12,0,0,0,3,0,0,0,0
Jaume Costa,RCD Mallorca,572.369€,15,13,229,0,0,0,0,13,0,0,15,25,0,4,0,0,0,0,0,0,0,0
Heyden,RCD Mallorca,530.186€,15,5,130,0,0,1,2,4,5,0,10,25,0,5,0,0,0,0,0,0,0,0
Denis Suárez,Villarreal CF,826.190€,15,12,408,0,0,0,0,10,1,0,35,41,0,8,0,0,0,3,1,0,0,0
Mascarell,RCD Mallorca,596.668€,15,14,48,1,0,0,0,0,2,1,5,14,0,4,0,0,0,0,0,0,0,0
Swedberg,RC Celta,489.537€,15,14,188,0,0,0,2,1,4,1,8,35,0,7,0,0,0,0,0,0,0,0
Lázaro,UD Almería,499.342€,15,9,143,0,0,1,1,1,0,1,15,24,0,4,0,0,0,0,0,0,0,0
Hugo Sotelo,RC Celta,547.669€,15,5,166,0,1,1,0,3,1,0,14,36,0,2,0,0,0,0,0,0,0,0
Kieran Tierney,Real Sociedad,1.791.822€,15,8,448,0,0,0,0,23,0,3,38,33,0,6,1,0,0,3,0,0,0,1
Sergio Ramos,Sevilla FC,11.642.679€,15,5,180,1,0,0,0,6,0,2,12,12,0,2,0,0,0,0,0,0,0,0
Raíllo,RCD Mallorca,2.385.538€,14,9,411,0,0,0,8,6,3,1,39,79,0,11,0,0,0,2,0,0,0,0
Acuña,Sevilla FC,1.234.156€,14,4,140,1,0,0,1,1,0,1,6,9,0,1,1,0,0,1,0,0,0,0
San Emeterio,Cádiz CF,590.839€,14,13,118,0,0,0,0,1,0,1,8,27,0,2,0,0,0,0,0,0,0,0
Arambarri,Getafe CF,966.111€,14,7,337,0,0,0,2,7,3,2,28,41,0,6,0,0,0,2,0,0,0,0
González,Valencia CF,474.209€,14,9,31,0,1,1,4,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0
Maxi Gómez,Cádiz CF,1.196.805€,14,11,406,0,0,1,0,0,2,2,9,70,0,10,0,0,0,2,0,0,0,0
